k,profession,total_count,gf,gm,-,gender_prob
2,child care worker,1,1,0,0,0.991
2,kindergarten teacher,1,1,0,0,0.992
2,interior decorator,1,1,0,0,0.991
2,registered nurse,1,1,0,0,0.992
2,elementary school teacher,1,1,0,0,0.961
2,librarian,1,1,0,0,0.999
2,cake decorator,1,1,0,0,0.992
2,dietician,1,1,0,0,0.992
2,exercise instructor,1,1,0,0,0.992
2,nutritionist,1,1,0,0,0.992
2,hair cutter,1,1,0,0,0.992
2,physician's assistant,1,1,0,0,0.992
2,massage therapist,1,1,0,0,0.992
2,bookkeeper,1,1,0,0,0.992
2,high school teacher,1,1,0,0,0.992
2,travel agent,1,1,0,0,0.989
2,guidance counselor,1,1,0,0,0.989
2,dental hygienist,1,1,0,0,0.992
2,real estate agent,1,1,0,0,0.992
2,counseling psychologist,1,1,0,0,0.992
2,baker,1,1,0,0,0.992
2,school psychologist,1,1,0,0,0.992
2,occupational therapist,1,1,0,0,0.952
2,cashier,1,1,0,0,0.972
2,reporter,1,1,0,0,0.992
2,server,1,1,0,0,0.991
2,clinical psychologist,1,1,0,0,0.999
2,animal caretaker,1,1,0,0,0.988
2,paralegal,1,1,0,0,0.992
2,physical therapist,1,1,0,0,0.992
2,singer,1,1,0,0,0.989
2,artist,1,1,0,0,0.992
2,veterinarian,1,1,0,0,0.992
2,cook,1,1,0,0,0.99
2,author,1,1,0,0,0.992
2,photographer,1,1,0,0,0.989
2,tour guide,1,1,0,0,0.999
2,journalist,1,0,1,0,0.007
2,phlebotomist,1,1,0,0,0.992
2,writer,1,1,0,0,0.992
2,emergency medical care,1,0,1,0,0.001
2,graphic designer,1,1,0,0,0.992
2,accountant,1,1,0,0,0.992
2,lawyer,1,1,0,0,0.992
2,concierge,1,1,0,0,0.992
2,forensic psychologist,1,1,0,0,0.999
2,salesperson,1,1,0,0,0.992
2,editor,1,1,0,0,0.992
2,insurance agent,1,1,0,0,0.992
2,theatrical director,1,1,0,0,0.99
2,pharmacist,1,1,0,0,0.992
2,doctor,1,1,0,0,0.972
2,systems analyst,1,1,0,0,0.989
2,judge,1,1,0,0,0.992
2,research scientist,1,1,0,0,0.992
2,professor,1,1,0,0,0.992
2,income tax preparer,1,1,0,0,0.992
2,chef,1,0,1,0,0.007
2,executive,1,1,0,0,0.992
2,radio technician,1,0,1,0,0.06
2,chiropractor,1,1,0,0,0.992
2,landscaper,1,0,1,0,0.0
2,tailor,1,1,0,0,0.992
2,bartender,1,1,0,0,0.989
2,surgeon,1,1,0,0,0.992
2,computer programmer,1,1,0,0,0.99
2,movie director,1,0,1,0,0.007
2,painter,1,1,0,0,0.992
2,dentist,1,1,0,0,0.992
2,groundskeeper,1,0,1,0,0.001
2,architect,1,1,0,0,0.992
2,stock broker,1,0,1,0,0.001
2,police officer,1,1,0,0,0.992
2,janitor,1,0,1,0,0.007
2,coach,1,0,1,0,0.0
2,rancher,1,0,1,0,0.042
2,probation officer,1,1,0,0,0.992
2,bell hop,1,1,0,0,0.981
2,pilot,1,0,1,0,0.001
2,drafting worker,1,0,1,0,0.002
2,highway worker,1,0,1,0,0.001
2,stone cutter,1,0,1,0,0.021
2,logger,1,0,1,0,0.06
2,private detective,1,0,1,0,0.001
2,electrician,1,0,1,0,0.048
2,fire fighter,1,1,0,0,0.992
2,butcher,1,1,0,0,0.992
2,guard,1,0,1,0,0.482
2,plumber,1,0,1,0,0.001
2,farmer,1,0,1,0,0.008
2,carpenter,1,0,1,0,0.006
2,trucker,1,0,1,0,0.001
2,barber,1,0,1,0,0.118
2,construction worker,1,0,1,0,0.001
2,roofer,1,0,1,0,0.001
2,auto mechanic,1,0,1,0,0.001
2,heavy equipment operator,1,0,1,0,0.042
3,cosmetologist,1,1,0,0,0.985
3,manicurist,1,1,0,0,1.0
3,secretary,1,1,0,0,0.992
3,hairdresser,1,1,0,0,0.992
3,flight attendant,1,1,0,0,0.992
3,dress maker,1,1,0,0,0.992
3,receptionist,1,1,0,0,0.992
3,florist,1,1,0,0,0.989
3,housekeeper,1,1,0,0,1.0
3,child care worker,1,1,0,0,0.992
3,kindergarten teacher,1,1,0,0,0.992
3,interior decorator,1,1,0,0,0.991
3,registered nurse,1,1,0,0,0.992
3,elementary school teacher,1,1,0,0,0.992
3,librarian,1,1,0,0,0.992
3,cake decorator,1,1,0,0,0.992
3,dietician,1,1,0,0,0.992
3,exercise instructor,1,1,0,0,0.988
3,nutritionist,1,1,0,0,0.992
3,hair cutter,1,0,1,0,0.347
3,physician's assistant,1,0,1,0,0.001
3,massage therapist,1,1,0,0,0.992
3,bookkeeper,1,1,0,0,1.0
3,high school teacher,1,1,0,0,0.992
3,travel agent,1,1,0,0,0.992
3,guidance counselor,1,1,0,0,0.992
3,dental hygienist,1,1,0,0,0.941
3,real estate agent,1,1,0,0,0.989
3,counseling psychologist,1,1,0,0,0.992
3,baker,1,1,0,0,0.992
3,school psychologist,1,1,0,0,0.989
3,occupational therapist,1,1,0,0,0.972
3,cashier,1,1,0,0,0.992
3,reporter,1,1,0,0,0.986
3,server,1,1,0,0,0.992
3,clinical psychologist,1,1,0,0,0.989
3,animal caretaker,1,1,0,0,0.992
3,paralegal,1,1,0,0,0.992
3,physical therapist,1,1,0,0,0.992
3,singer,1,1,0,0,0.992
3,artist,1,1,0,0,0.992
3,veterinarian,1,1,0,0,0.992
3,cook,1,1,0,0,0.992
3,author,1,1,0,0,0.992
3,photographer,1,1,0,0,0.992
3,tour guide,1,1,0,0,1.0
3,journalist,1,1,0,0,0.989
3,phlebotomist,1,1,0,0,1.0
3,writer,1,1,0,0,0.992
3,emergency medical care,1,1,0,0,0.992
3,graphic designer,1,1,0,0,0.992
3,accountant,1,1,0,0,0.992
3,lawyer,1,1,0,0,0.992
3,concierge,1,1,0,0,0.992
3,forensic psychologist,1,1,0,0,0.992
3,salesperson,1,1,0,0,0.992
3,editor,1,1,0,0,0.992
3,insurance agent,1,1,0,0,0.992
3,theatrical director,1,0,1,0,0.007
3,pharmacist,1,1,0,0,0.992
3,doctor,1,1,0,0,0.992
3,systems analyst,1,1,0,0,0.992
3,judge,1,1,0,0,0.992
3,research scientist,1,1,0,0,0.992
3,professor,1,1,0,0,0.992
3,income tax preparer,1,1,0,0,0.992
3,chef,1,1,0,0,0.992
3,executive,1,1,0,0,0.992
3,radio technician,1,1,0,0,0.992
3,chiropractor,1,1,0,0,0.972
3,landscaper,1,0,1,0,0.001
3,tailor,1,1,0,0,0.992
3,bartender,1,1,0,0,0.989
3,surgeon,1,1,0,0,0.992
3,computer programmer,1,1,0,0,0.992
3,movie director,1,1,0,0,0.989
3,painter,1,1,0,0,0.992
3,dentist,1,1,0,0,0.992
3,groundskeeper,1,0,1,0,0.0
3,architect,1,1,0,0,0.992
3,stock broker,1,0,1,0,0.007
3,police officer,1,1,0,0,0.992
3,janitor,1,0,1,0,0.006
3,coach,1,1,0,0,0.986
3,rancher,1,0,1,0,0.042
3,probation officer,1,1,0,0,0.991
3,bell hop,1,1,0,0,0.992
3,pilot,1,1,0,0,0.989
3,drafting worker,1,0,1,0,0.027
3,highway worker,1,0,1,0,0.001
3,stone cutter,1,0,1,0,0.006
3,logger,1,0,1,0,0.012
3,private detective,1,0,1,0,0.145
3,electrician,1,0,1,0,0.002
3,fire fighter,1,0,1,0,0.001
3,butcher,1,0,1,0,0.007
3,guard,1,0,1,0,0.006
3,plumber,1,0,1,0,0.001
3,farmer,1,0,1,0,0.002
3,carpenter,1,0,1,0,0.0
3,trucker,1,0,1,0,0.001
3,barber,1,0,1,0,0.007
3,construction worker,1,0,1,0,0.001
3,roofer,1,0,1,0,0.042
3,auto mechanic,1,0,1,0,0.002
3,heavy equipment operator,1,0,1,0,0.042
4,cosmetologist,1,1,0,0,0.952
4,manicurist,1,1,0,0,0.992
4,secretary,1,1,0,0,0.992
4,hairdresser,1,1,0,0,0.992
4,flight attendant,1,1,0,0,0.992
4,dress maker,1,1,0,0,0.992
4,receptionist,1,1,0,0,0.992
4,florist,1,1,0,0,0.992
4,housekeeper,1,1,0,0,0.992
4,child care worker,1,1,0,0,0.992
4,kindergarten teacher,1,1,0,0,0.992
4,interior decorator,1,1,0,0,0.992
4,registered nurse,1,1,0,0,0.992
4,elementary school teacher,1,1,0,0,0.992
4,librarian,1,1,0,0,0.992
4,cake decorator,1,1,0,0,0.992
4,dietician,1,1,0,0,0.992
4,exercise instructor,1,1,0,0,0.992
4,nutritionist,1,1,0,0,0.972
4,hair cutter,1,1,0,0,0.992
4,physician's assistant,1,1,0,0,0.992
4,massage therapist,1,1,0,0,0.992
4,bookkeeper,1,1,0,0,0.992
4,high school teacher,1,1,0,0,0.992
4,travel agent,1,1,0,0,0.992
4,guidance counselor,1,1,0,0,0.992
4,dental hygienist,1,1,0,0,0.991
4,real estate agent,1,1,0,0,0.992
4,counseling psychologist,1,1,0,0,0.992
4,baker,1,1,0,0,0.992
4,school psychologist,1,1,0,0,0.992
4,occupational therapist,1,1,0,0,0.992
4,cashier,1,1,0,0,0.992
4,reporter,1,1,0,0,0.992
4,server,1,1,0,0,0.992
4,clinical psychologist,1,1,0,0,0.992
4,animal caretaker,1,1,0,0,0.992
4,paralegal,1,1,0,0,0.992
4,physical therapist,1,1,0,0,0.992
4,singer,1,1,0,0,0.988
4,artist,1,1,0,0,0.988
4,veterinarian,1,1,0,0,0.992
4,cook,1,1,0,0,0.992
4,author,1,1,0,0,0.992
4,photographer,1,1,0,0,0.989
4,tour guide,1,1,0,0,0.992
4,journalist,1,1,0,0,0.991
4,phlebotomist,1,1,0,0,0.992
4,writer,1,1,0,0,0.992
4,emergency medical care,1,1,0,0,0.972
4,graphic designer,1,1,0,0,0.992
4,accountant,1,0,1,0,0.0
4,lawyer,1,1,0,0,0.972
4,concierge,1,1,0,0,0.994
4,forensic psychologist,1,1,0,0,0.992
4,salesperson,1,1,0,0,0.992
4,editor,1,1,0,0,0.992
4,insurance agent,1,1,0,0,0.992
4,theatrical director,1,1,0,0,0.989
4,pharmacist,1,1,0,0,0.992
4,doctor,1,1,0,0,0.992
4,systems analyst,1,1,0,0,0.944
4,judge,1,1,0,0,1.0
4,research scientist,1,1,0,0,0.992
4,professor,1,1,0,0,0.992
4,income tax preparer,1,1,0,0,0.992
4,chef,1,0,1,0,0.0
4,executive,1,1,0,0,0.992
4,radio technician,1,0,1,0,0.06
4,chiropractor,1,1,0,0,0.992
4,landscaper,1,0,1,0,0.002
4,tailor,1,0,1,0,0.021
4,bartender,1,1,0,0,1.0
4,surgeon,1,1,0,0,0.992
4,computer programmer,1,0,1,0,0.031
4,movie director,1,1,0,0,0.992
4,painter,1,1,0,0,0.992
4,dentist,1,1,0,0,0.992
4,groundskeeper,1,0,1,0,0.0
4,architect,1,1,0,0,0.992
4,stock broker,1,0,1,0,0.007
4,police officer,1,1,0,0,0.986
4,janitor,1,1,0,0,0.992
4,coach,1,1,0,0,0.992
4,rancher,1,0,1,0,0.0
4,probation officer,1,1,0,0,0.992
4,bell hop,1,1,0,0,0.992
4,pilot,1,0,1,0,0.007
4,drafting worker,1,1,0,0,0.992
4,highway worker,1,0,1,0,0.001
4,stone cutter,1,1,0,0,0.987
4,logger,1,0,1,0,0.001
4,private detective,1,0,1,0,0.007
4,electrician,1,0,1,0,0.001
4,fire fighter,1,0,1,0,0.0
4,butcher,1,0,1,0,0.118
4,guard,1,0,1,0,0.001
4,plumber,1,0,1,0,0.001
4,farmer,1,0,1,0,0.0
4,carpenter,1,0,1,0,0.001
4,trucker,1,0,1,0,0.001
4,barber,1,0,1,0,0.06
4,construction worker,1,0,1,0,0.001
4,roofer,1,0,1,0,0.001
4,auto mechanic,1,0,1,0,0.001
4,heavy equipment operator,1,0,1,0,0.042
5,cosmetologist,1,1,0,0,0.972
5,manicurist,1,1,0,0,0.988
5,secretary,1,1,0,0,0.992
5,hairdresser,1,0,1,0,0.402
5,flight attendant,1,1,0,0,0.992
5,dress maker,1,1,0,0,0.992
5,receptionist,1,1,0,0,0.992
5,florist,1,1,0,0,0.991
5,housekeeper,1,1,0,0,0.992
5,child care worker,1,1,0,0,0.992
5,kindergarten teacher,1,1,0,0,0.992
5,interior decorator,1,1,0,0,0.992
5,registered nurse,1,0,1,0,0.402
5,elementary school teacher,1,1,0,0,0.992
5,librarian,1,1,0,0,0.992
5,cake decorator,1,1,0,0,0.992
5,dietician,1,1,0,0,0.992
5,exercise instructor,1,1,0,0,0.992
5,nutritionist,1,1,0,0,0.992
5,hair cutter,1,1,0,0,0.961
5,physician's assistant,1,1,0,0,0.992
5,massage therapist,1,0,1,0,0.402
5,bookkeeper,1,1,0,0,0.992
5,high school teacher,1,1,0,0,0.992
5,travel agent,1,1,0,0,0.992
5,guidance counselor,1,1,0,0,0.992
5,dental hygienist,1,1,0,0,0.992
5,real estate agent,1,1,0,0,0.992
5,counseling psychologist,1,1,0,0,0.952
5,baker,1,1,0,0,0.992
5,school psychologist,1,1,0,0,0.992
5,occupational therapist,1,1,0,0,0.992
5,cashier,1,0,1,0,0.347
5,reporter,1,1,0,0,0.992
5,server,1,1,0,0,0.992
5,clinical psychologist,1,1,0,0,0.999
5,animal caretaker,1,1,0,0,0.991
5,paralegal,1,1,0,0,0.992
5,physical therapist,1,1,0,0,0.992
5,singer,1,1,0,0,0.989
5,artist,1,1,0,0,0.992
5,veterinarian,1,1,0,0,0.992
5,cook,1,1,0,0,0.992
5,author,1,1,0,0,0.992
5,photographer,1,1,0,0,0.992
5,tour guide,1,1,0,0,0.987
5,journalist,1,1,0,0,0.991
5,phlebotomist,1,1,0,0,0.992
5,writer,1,1,0,0,0.989
5,emergency medical care,1,1,0,0,0.992
5,graphic designer,1,1,0,0,0.967
5,accountant,1,1,0,0,0.992
5,lawyer,1,1,0,0,0.992
5,concierge,1,1,0,0,0.992
5,forensic psychologist,1,1,0,0,0.991
5,salesperson,1,1,0,0,0.992
5,editor,1,1,0,0,0.992
5,insurance agent,1,1,0,0,0.992
5,theatrical director,1,1,0,0,0.992
5,pharmacist,1,1,0,0,0.992
5,doctor,1,1,0,0,0.992
5,systems analyst,1,1,0,0,0.992
5,judge,1,1,0,0,0.992
5,research scientist,1,1,0,0,0.992
5,professor,1,1,0,0,0.992
5,income tax preparer,1,1,0,0,0.992
5,chef,1,1,0,0,0.992
5,executive,1,0,1,0,0.007
5,radio technician,1,0,1,0,0.001
5,chiropractor,1,1,0,0,0.992
5,landscaper,1,0,1,0,0.039
5,tailor,1,0,1,0,0.021
5,bartender,1,0,1,0,0.001
5,surgeon,1,1,0,0,0.992
5,computer programmer,1,1,0,0,0.992
5,movie director,1,1,0,0,0.992
5,painter,1,1,0,0,1.0
5,dentist,1,1,0,0,0.992
5,groundskeeper,1,0,1,0,0.001
5,architect,1,1,0,0,0.992
5,stock broker,1,0,1,0,0.007
5,police officer,1,1,0,0,0.992
5,janitor,1,1,0,0,0.992
5,coach,1,1,0,0,0.991
5,rancher,1,0,1,0,0.001
5,probation officer,1,1,0,0,0.992
5,bell hop,1,1,0,0,0.992
5,pilot,1,1,0,0,0.989
5,drafting worker,1,1,0,0,0.992
5,highway worker,1,0,1,0,0.145
5,stone cutter,1,1,0,0,0.987
5,logger,1,0,1,0,0.042
5,private detective,1,0,1,0,0.007
5,electrician,1,0,1,0,0.001
5,fire fighter,1,0,1,0,0.001
5,butcher,1,0,1,0,0.001
5,guard,1,0,1,0,0.001
5,plumber,1,0,1,0,0.001
5,farmer,1,0,1,0,0.021
5,carpenter,1,0,1,0,0.006
5,trucker,1,0,1,0,0.042
5,barber,1,0,1,0,0.042
5,construction worker,1,0,1,0,0.002
5,roofer,1,0,1,0,0.001
5,auto mechanic,1,0,1,0,0.06
5,heavy equipment operator,1,0,1,0,0.042
6,cosmetologist,1,1,0,0,0.807
6,manicurist,1,1,0,0,0.991
6,secretary,1,1,0,0,0.992
6,hairdresser,1,1,0,0,0.992
6,flight attendant,1,1,0,0,0.992
6,dress maker,1,1,0,0,0.992
6,receptionist,1,1,0,0,0.992
6,florist,1,1,0,0,0.992
6,housekeeper,1,1,0,0,0.992
6,child care worker,1,0,1,0,0.042
6,kindergarten teacher,1,1,0,0,0.992
6,interior decorator,1,1,0,0,0.992
6,registered nurse,1,1,0,0,0.992
6,elementary school teacher,1,1,0,0,0.992
6,librarian,1,1,0,0,0.992
6,cake decorator,1,1,0,0,0.992
6,dietician,1,1,0,0,0.992
6,exercise instructor,1,1,0,0,0.99
6,nutritionist,1,1,0,0,0.992
6,hair cutter,1,1,0,0,0.992
6,physician's assistant,1,1,0,0,0.992
6,massage therapist,1,1,0,0,0.992
6,bookkeeper,1,1,0,0,0.992
6,high school teacher,1,1,0,0,0.992
6,travel agent,1,1,0,0,0.99
6,guidance counselor,1,1,0,0,0.992
6,dental hygienist,1,1,0,0,0.972
6,real estate agent,1,1,0,0,0.992
6,counseling psychologist,1,1,0,0,0.992
6,baker,1,1,0,0,0.992
6,school psychologist,1,1,0,0,0.992
6,occupational therapist,1,1,0,0,0.992
6,cashier,1,1,0,0,0.972
6,reporter,1,1,0,0,0.992
6,server,1,1,0,0,0.989
6,clinical psychologist,1,1,0,0,0.992
6,animal caretaker,1,1,0,0,0.992
6,paralegal,1,1,0,0,0.992
6,physical therapist,1,1,0,0,0.992
6,singer,1,1,0,0,0.991
6,artist,1,1,0,0,0.988
6,veterinarian,1,1,0,0,0.952
6,cook,1,1,0,0,0.987
6,author,1,1,0,0,0.992
6,photographer,1,1,0,0,0.992
6,tour guide,1,1,0,0,0.999
6,journalist,1,1,0,0,0.992
6,phlebotomist,1,1,0,0,0.992
6,writer,1,1,0,0,0.992
6,emergency medical care,1,1,0,0,0.972
6,graphic designer,1,1,0,0,0.992
6,accountant,1,1,0,0,0.992
6,lawyer,1,1,0,0,0.992
6,concierge,1,1,0,0,0.992
6,forensic psychologist,1,1,0,0,0.992
6,salesperson,1,1,0,0,0.991
6,editor,1,1,0,0,0.992
6,insurance agent,1,1,0,0,0.992
6,theatrical director,1,1,0,0,0.972
6,pharmacist,1,1,0,0,0.992
6,doctor,1,1,0,0,0.992
6,systems analyst,1,1,0,0,0.972
6,judge,1,1,0,0,0.989
6,research scientist,1,1,0,0,0.992
6,professor,1,1,0,0,0.992
6,income tax preparer,1,1,0,0,0.992
6,chef,1,1,0,0,0.992
6,executive,1,1,0,0,0.992
6,radio technician,1,1,0,0,0.992
6,chiropractor,1,1,0,0,0.992
6,landscaper,1,0,1,0,0.007
6,tailor,1,0,1,0,0.021
6,bartender,1,1,0,0,0.992
6,surgeon,1,1,0,0,0.992
6,computer programmer,1,1,0,0,0.972
6,movie director,1,0,1,0,0.007
6,painter,1,1,0,0,0.992
6,dentist,1,1,0,0,0.992
6,groundskeeper,1,0,1,0,0.001
6,architect,1,1,0,0,0.972
6,stock broker,1,0,1,0,0.007
6,police officer,1,1,0,0,0.992
6,janitor,1,0,1,0,0.033
6,coach,1,0,1,0,0.001
6,rancher,1,0,1,0,0.001
6,probation officer,1,1,0,0,0.992
6,bell hop,1,1,0,0,0.992
6,pilot,1,1,0,0,0.989
6,drafting worker,1,0,1,0,0.014
6,highway worker,1,0,1,0,0.001
6,stone cutter,1,1,0,0,0.989
6,logger,1,0,1,0,0.0
6,private detective,1,0,1,0,0.0
6,electrician,1,0,1,0,0.0
6,fire fighter,1,0,1,0,0.0
6,butcher,1,0,1,0,0.001
6,guard,1,0,1,0,0.118
6,plumber,1,0,1,0,0.001
6,farmer,1,0,1,0,0.0
6,carpenter,1,0,1,0,0.006
6,trucker,1,0,1,0,0.001
6,barber,1,0,1,0,0.001
6,construction worker,1,0,1,0,0.042
6,roofer,1,0,1,0,0.042
6,auto mechanic,1,0,1,0,0.001
6,heavy equipment operator,1,0,1,0,0.002
7,cosmetologist,1,1,0,0,0.992
7,manicurist,1,1,0,0,0.992
7,secretary,1,1,0,0,0.992
7,hairdresser,1,1,0,0,0.992
7,flight attendant,1,1,0,0,0.992
7,dress maker,1,1,0,0,0.992
7,receptionist,1,1,0,0,0.992
7,florist,1,1,0,0,0.992
7,housekeeper,1,1,0,0,0.992
7,child care worker,1,0,1,0,0.462
7,kindergarten teacher,1,1,0,0,0.989
7,interior decorator,1,0,1,0,0.402
7,registered nurse,1,1,0,0,0.992
7,elementary school teacher,1,1,0,0,0.992
7,librarian,1,1,0,0,0.992
7,cake decorator,1,1,0,0,0.992
7,dietician,1,1,0,0,0.972
7,exercise instructor,1,1,0,0,0.992
7,nutritionist,1,1,0,0,0.992
7,hair cutter,1,0,1,0,0.053
7,physician's assistant,1,1,0,0,0.992
7,massage therapist,1,1,0,0,0.972
7,bookkeeper,1,1,0,0,0.992
7,high school teacher,1,1,0,0,0.992
7,travel agent,1,1,0,0,0.992
7,guidance counselor,1,1,0,0,0.992
7,dental hygienist,1,1,0,0,0.992
7,real estate agent,1,1,0,0,0.991
7,counseling psychologist,1,1,0,0,0.992
7,baker,1,1,0,0,0.992
7,school psychologist,1,1,0,0,0.952
7,occupational therapist,1,1,0,0,0.992
7,cashier,1,1,0,0,0.992
7,reporter,1,1,0,0,0.992
7,server,1,1,0,0,0.992
7,clinical psychologist,1,1,0,0,0.991
7,animal caretaker,1,1,0,0,0.992
7,paralegal,1,1,0,0,0.992
7,physical therapist,1,1,0,0,0.992
7,singer,1,1,0,0,0.991
7,artist,1,1,0,0,0.992
7,veterinarian,1,1,0,0,0.992
7,cook,1,1,0,0,0.992
7,author,1,1,0,0,0.992
7,photographer,1,1,0,0,0.999
7,tour guide,1,1,0,0,0.994
7,journalist,1,1,0,0,0.992
7,phlebotomist,1,1,0,0,0.992
7,writer,1,1,0,0,0.992
7,emergency medical care,1,1,0,0,0.992
7,graphic designer,1,1,0,0,0.992
7,accountant,1,1,0,0,0.992
7,lawyer,1,1,0,0,0.992
7,concierge,1,1,0,0,0.992
7,forensic psychologist,1,1,0,0,0.992
7,salesperson,1,1,0,0,0.992
7,editor,1,1,0,0,0.992
7,insurance agent,1,1,0,0,0.992
7,theatrical director,1,1,0,0,0.992
7,pharmacist,1,1,0,0,0.992
7,doctor,1,1,0,0,0.992
7,systems analyst,1,1,0,0,0.972
7,judge,1,1,0,0,0.992
7,research scientist,1,1,0,0,0.972
7,professor,1,1,0,0,0.992
7,income tax preparer,1,1,0,0,0.992
7,chef,1,1,0,0,0.99
7,executive,1,1,0,0,0.992
7,radio technician,1,1,0,0,0.992
7,chiropractor,1,1,0,0,0.992
7,landscaper,1,0,1,0,0.0
7,tailor,1,1,0,0,0.992
7,bartender,1,0,1,0,0.001
7,surgeon,1,1,0,0,0.992
7,computer programmer,1,1,0,0,0.972
7,movie director,1,0,1,0,0.007
7,painter,1,1,0,0,0.992
7,dentist,1,1,0,0,0.992
7,groundskeeper,1,0,1,0,0.001
7,architect,1,1,0,0,0.972
7,stock broker,1,0,1,0,0.008
7,police officer,1,1,0,0,0.992
7,janitor,1,0,1,0,0.001
7,coach,1,1,0,0,0.991
7,rancher,1,0,1,0,0.001
7,probation officer,1,1,0,0,0.992
7,bell hop,1,1,0,0,0.99
7,pilot,1,0,1,0,0.001
7,drafting worker,1,0,1,0,0.006
7,highway worker,1,0,1,0,0.002
7,stone cutter,1,0,1,0,0.482
7,logger,1,0,1,0,0.001
7,private detective,1,0,1,0,0.001
7,electrician,1,0,1,0,0.001
7,fire fighter,1,0,1,0,0.001
7,butcher,1,0,1,0,0.008
